seat,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,summary,sample1,2,3,4,pre
cy,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,100.00,5.00,5.00,5.00,5.00
100pts,0.000,0.000,0.020,0.060,0.030,0.040,0.050,0.030,0.290,0.250,0.260,0.240,0.230,0.240,3.020,2.750,3.050,3.080,2.840,3.350,19.830,0.000,0.000,0.000,0.020
,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,,ok,ok,ok,ok
cy,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,5.00,5.00,5.00,5.00
40pts,0.000,0.000,0.220,0.340,0.330,0.480,0.430,0.480,0.000,14.410,13.370,12.620,13.030,12.490,0.000,0.000,0.000,0.000,0.000,0.000,2.280,0.000,0.000,0.000,0.290
,ok,ok,ok,ok,ok,ok,ok,ok,Time out.,ok(but time out),ok(but time out),ok(but time out),ok(but time out),ok(but time out),Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,,ok,ok,ok,ok
cy,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,5.00,5.00,5.00,5.00
70pts,0.000,0.000,0.030,0.040,0.040,0.050,0.050,0.050,1.150,1.050,1.060,1.050,1.030,0.990,0.000,0.000,0.000,0.000,0.000,0.000,6.590,0.000,0.000,0.000,0.050
,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,Time out.,Time out.,Time out.,Time out.,Time out.,Time out.,,ok,ok,ok,ok
cy,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,5.00,5.00,5.00,5.00
70pts_fast,0.000,0.000,0.010,0.010,0.020,0.020,0.020,0.020,0.350,0.330,0.370,0.330,0.310,0.310,0.000,13.830,14.520,13.990,14.860,14.940,2.100,0.000,0.000,0.000,0.010
,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,Time out.,ok(but time out),ok(but time out),ok(but time out),ok(but time out),ok(but time out),,ok,ok,ok,ok
lx,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,5.00,5.00,5.00,5.00
km,0.000,0.000,0.010,0.020,0.010,0.010,0.010,0.010,0.220,0.270,0.230,0.270,0.230,0.310,6.280,5.160,6.490,6.030,6.250,5.730,1.600,0.000,0.000,0.000,0.010
,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok(but time out),ok(but time out),ok(but time out),ok(but time out),ok(but time out),ok(but time out),,ok,ok,ok,ok
lx,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,5.00,5.00,5.00,5.00
naive_flow,0.000,0.000,0.040,0.050,0.050,0.060,0.060,0.060,0.760,0.780,0.740,0.750,0.830,0.730,13.210,14.770,14.810,14.810,13.500,13.190,4.910,0.000,0.000,0.000,0.050
,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok,ok(but time out),ok(but time out),ok(but time out),ok(but time out),ok(but time out),ok(but time out),,ok,ok,ok,ok
